name_type,table_name,target_count
nearest_title,"下表為本集團針織布料、內衣產品及空間測量之收入明細,及其所佔回顧年內本集團收入總額之百分比,並連同截至二零二四年十二月三十一日止年度之相應比較數字:",1
nearest_title,下表載列2025年及2024年按分部及類型劃分的收入:,1
nearest_title,下表載列2025年及2024年第四季度按分部及類型劃分的收入:,1
nearest_title,下表載列2025年第四季度及2025年第三季度按分部及類型劃分的收入:,1
nearest_title,下表載列二零二五財年及二零二四財年本集團的建設合約及工程服務收入、已完成項目/合約數目及佔總收入的百分比明細。,1
nearest_title,下表載列二零二五財政年度及二零二四財政年度我們按銷售渠道劃分的收益明細:,1
nearest_title,下表載列報告期內按產品類別列示的收入明細:,1
nearest_title,下表載列年內向外部客户銷售的總額(按產品計)及佔總收益之百分比(按產品計):,1
nearest_title,下表載列我們截至2024及2025年12月31日止年度按業務線劃分的收入。,1
nearest_title,下表載列我們截至二零二六年三月三十一日止年度(「本年度」)以及比較年度根據五大服務類別劃分的總收益明細:,1
nearest_title,下表載列我們按業務分部劃分的收益明細:,1
nearest_title,下表載列我們於所示年度按業務分部劃分的收入明細:,1
nearest_title,下表載列我們於所示年度按業務分部劃分的毛利及毛利率:,1
nearest_title,下表載列我們於所示年度按業務類別劃分的收入:,1
nearest_title,下表載列我們於所示年度按產品線劃分的收入金額和佔總收入的百分比明細:,1
nearest_title,下表載列我們於所示年度按類型劃分、按銷售渠道劃分及按地區市場劃分並以絕對金額表示的收益明細及佔收益的百分比:,1
nearest_title,下表載列我們於所示期間按服務/產品類型劃分的收入。,1
nearest_title,下表載列我們於所示期間按業務板塊劃分的收益:,1
nearest_title,下表載列我們於所示期間按產品類別劃分的收益、銷量、平均售價明細:,1
nearest_title,下表載列我們的收益明細:,1
nearest_title,下表載列截至2025年12月31日及2024年12月31日止年度按品牌劃分的銷售淨額明細:,1
nearest_title,下表載列截至2025年12月31日止兩個年度本集團按業務線劃分的總收益明細:,1
nearest_title,下表載列截至二零二五年十二月三十一日及二零二四年十二月三十一日止年度本集團的毛利明細:,1
nearest_title,下表載列截至二零二五年及二零二四年十二月三十一日止年度該等須予報告及經營分部之收益及業績資料。,1
nearest_title,下表載列所示各年度本集團按分部劃分的收益明細及各項目佔收益的百分比:,1
